# frequency_cm-1 intensity
  330.874316 6.179977461443e-02
  331.848873 6.041300061905e-02
  332.823430 5.878092754743e-02
  333.797986 5.693417884918e-02
  334.772543 5.489687945382e-02
  335.747100 5.268728451358e-02
  336.721656 5.031931042697e-02
  337.696213 4.780465898709e-02
  338.670770 4.515517210343e-02
  339.645326 4.238505306672e-02
  340.619883 3.951263732106e-02
  341.594440 3.656148099562e-02
  342.568996 3.356064413838e-02
  343.543553 3.054416072281e-02
  344.518110 2.754979276099e-02
  345.492667 2.461724800300e-02
  346.467223 2.178609120101e-02
  347.441780 1.909359469902e-02
  348.416337 1.657275737814e-02
  349.390893 1.425067821312e-02
  350.365450 1.214741108346e-02
  351.340007 1.027536122387e-02
  352.314563 8.639220323727e-03
  353.289120 7.236384370812e-03
  354.263677 6.057760722421e-03
  355.238233 5.088850456886e-03
  356.212790 4.310987995973e-03
  357.187347 3.702629422039e-03
  358.161903 3.240599745079e-03
  359.136460 2.901233135579e-03
  360.111017 2.661364727964e-03
  361.085573 2.499154802282e-03
  362.060130 2.394743907200e-03
  363.034687 2.330749904137e-03
  364.009244 2.292625091796e-03
  364.983800 2.268894304892e-03
  365.958357 2.251294310606e-03
  366.932914 2.234832124456e-03
  367.907470 2.217776008727e-03
  368.882027 2.201588558336e-03
  369.856584 2.190806756091e-03
  370.831140 2.192869296890e-03
  371.805697 2.217886867333e-03
  372.780254 2.278346544422e-03
  373.754810 2.388737396597e-03
  374.729367 2.565081384598e-03
  375.703924 2.824352695510e-03
  376.678480 3.183770773828e-03
  377.653037 3.659958540163e-03
  378.627594 4.267968268103e-03
  379.602150 5.020193356297e-03
  380.576707 5.925203970928e-03
  381.551264 6.986566468960e-03
  382.525821 8.201727961801e-03
  383.500377 9.561064988394e-03
  384.474934 1.104720543090e-02
  385.449491 1.263473222502e-02
  386.424047 1.429036371236e-02
  387.398604 1.597367777065e-02
  388.373161 1.763840616637e-02
  389.347717 1.923427499641e-02
  390.322274 2.070931161230e-02
  391.296831 2.201248442607e-02
  392.271387 2.309649643228e-02
  393.245944 2.392052268201e-02
  394.220501 2.445267140476e-02
  395.195057 2.467196076991e-02
  396.169614 2.456963829914e-02
  397.144171 2.414972454210e-02
  398.118727 2.342873097112e-02
  399.093284 2.243457636365e-02
  400.067841 2.120479760370e-02
  401.042398 1.978421159871e-02
  402.016954 1.822222816048e-02
  402.991511 1.657003495530e-02
  403.966068 1.487787364427e-02
  404.940624 1.319260274063e-02
  405.915181 1.155570170644e-02
  406.889738 1.000181840109e-02
  407.864294 8.557905023957e-03
  408.838851 7.242932845925e-03
  409.813408 6.068128952946e-03
  410.787964 5.037642929584e-03
  411.762521 4.149529941208e-03
  412.737078 3.396929145725e-03
  413.711634 2.769321253654e-03
  414.686191 2.253763665635e-03
  415.660748 1.836022642374e-03
  416.635304 1.501546018465e-03
  417.609861 1.236244033703e-03
  418.584418 1.027067555104e-03
  419.558975 8.623907291282e-04
  420.533531 7.322181629653e-04
  421.508088 6.282450034573e-04
  422.482645 5.438021999208e-04
  423.457201 4.737195688190e-04
  424.431758 4.141369383669e-04
  425.406315 3.622895575959e-04
  426.380871 3.162889277126e-04
  427.355428 2.749149211036e-04
  428.329985 2.374299901961e-04
  429.304541 2.034217651617e-04
  430.279098 1.726765851949e-04
  431.253655 1.450835796856e-04
  432.228211 1.205668069201e-04
  433.202768 9.904160551338e-05
  434.177325 8.039061750047e-05
  435.151881 6.445478148239e-05
  436.126438 5.103484122890e-05
  437.100995 3.989944366140e-05
  438.075552 3.079659403916e-05
  439.050108 2.346599517354e-05
  440.024665 1.765054118153e-05
  440.999222 1.310590614867e-05
  441.973778 9.607727507713e-06
  442.948335 6.956316460062e-06
  443.922892 4.979133695179e-06
  444.897448 3.531460936603e-06
  445.872005 2.495798464232e-06
  446.846562 1.780550447623e-06
  447.821118 1.318548352839e-06
  448.795675 1.065929575158e-06
  449.770232 1.001850531523e-06
  450.744788 1.129481243341e-06
  451.719345 1.478705717934e-06
  452.693902 2.110936158112e-06
  453.668458 3.126429707524e-06
  454.643015 4.674458876556e-06
  455.617572 6.966611289034e-06
  456.592129 1.029335859735e-05
  457.566685 1.504381605524e-05
  458.541242 2.172829485316e-05
  459.515799 3.100281908285e-05
  460.490355 4.369424259371e-05
  461.464912 6.082398284542e-05
  462.439469 8.362773972049e-05
  463.414025 1.135679670251e-04
  464.388582 1.523354224510e-04
  465.363139 2.018359721099e-04
  466.337695 2.641591158934e-04
  467.312252 3.415255726651e-04
  468.286809 4.362128329713e-04
  469.261365 5.504599056035e-04
  470.235922 6.863555163525e-04
  471.210479 8.457176071275e-04
  472.185035 1.029975837429e-03
  473.159592 1.240072471630e-03
  474.134149 1.476399982349e-03
